정보원,일자,인용문
문재인대통령,2020-05-04,"기부하는 움직임이 확산되고 있는 것은 좋은 일
코로나19(신종 코로나바이러스 감염증)로 어려움을 겪고 있는 국민께 드리는 위로와 응원
경제 활력에도 조금이나마 도움이 되길 기대한다
지급 대상을 전 국민으로 넓히면서 자발적 기부를 할 수 있는 장치를 마련했다
(기부는) 온 국민이 힘을 모아 경제 위기를 함께 극복하자는 뜻
기부는 선의의 자발적 선택으로, 기부에서 느끼는 보람과 자긍심이 보상
형편이 되는 만큼, 뜻이 있는 만큼 참여해 주시기 바란다
기부할 형편이 안 되더라도 재난지원금을 소비하는 것만으로도 위축된 내수를 살리는 데 기여하는 것
기업의 임직원들과 종교인들을 포함해 사회 곳곳에서 기부의 뜻을 모아가고 있고, 일선 지방자치단체에서도 주민들의 기부 행렬이 이어지고 있다
(기부금이) 많든 적든 어려운 이웃과 연대하는 손길이 되고, 국난 극복의 힘이 될 것
국민들께서 정성으로 모아준 기부금이 필요한 곳, 어려운 국민을 위해 가장 효과적으로 쓰일 수 있도록 최선을 다하겠다"
문재인대통령,2020-05-04,"기재부의 재정건전성 우려도 일리가 없지 않다
홍 부총리가 대통령을 재신임 한 것 아니냐"
문재인대통령,2020-05-04,"형편이 되는 만큼, 뜻이 있는 만큼 (기부에) 참여해주길 바란다
기부는 선의의 자발적 선택이다. 강요할 수도 없고, 강요해서도 안될 일"
문재인대통령,2020-05-04,"정부가 지원금 지급대상을 전 국민으로 넓히면서 자발적 기부를 할 수 있는 장치를 마련했다
형편이 되는 만큼, 뜻이 있는 만큼 참여해주시길 바란다"
문재인대통령,2020-05-04,"자발적으로 재난지원금을 기부하는 움직임이 확산되고 있는 것은 좋은 일
기업의 임직원들과 종교인들 포함하여 사회 곳곳에서 기부의 뜻을 모아가고 있다
일선 지자체에서도 주민들의 기부행렬이 이어지고 있다
기부금은 온 국민이 힘을 모아 경제 위기를 함께 극복하자는 취지
많든 적든 어려운 이웃들과 연대하는 손길이 되고 국난 극복의 힘이 될 것
기부는 선의의 자발적 선택이다. 강요할 수도 없고, 강요해서도 안될 일
기부에서 느끼는 보람과 자긍심이 보상
정부는 국민들께서 정성으로 모아준 기부금이 필요한 곳, 어려운 국민들을 위해 가장 효과적으로 쓰일 수 있도록 최선을 다하겠다
형편이 안 되더라도 재난지원금을 소비하는 것만으로도 위축된 내수를 살리는데 기여하는 것
정부는 사상 최초로 지급하는 긴급재난지원금이 국민들께 빠르고 편하게 전달되도록 최선을 다하겠다"
문재인대통령,2020-05-04,"안전수칙이 제대로 지켜지지 않은 이유가 무엇인지, 관리 감독의 책임까지 엄중하게 규명해주기 바란다"
문재인대통령,2020-05-04,"사고 원인을 제대로 규명하는 것이 급선무
과거에 일어났던 유사한 사고가 대형 참사의 형태로 되풀이되었다는 점에서 매우 후진적이고 부끄러운 사고였다
2008년 냉동창고 화재 사고 이후 유사한 사고를 막기 위한 안전 대책을 마련하였고, 우리 정부에서도 화재 안전대책을 강화해 왔는데도 현장에서 제대로 작동되지 않은 이유가 무엇인지 분명히 밝혀야 할 것
이번 사고처럼 대형 화재 가능성이 높은 마무리 공정 상황에 특화한 맞춤형 대책을 강구해 주기 바란다
위험 요인을 근본적으로 제거하여 유사한 사고가 다시는 발생하지 않도록 관련 부처들이 협의하여 확실한 대책을 마련하고 보고해주기 바란다
코로나19로 어려움을 겪고 있는 국민들께 드리는 위로와 응원이면서 경제 활력에도 조금이나마 도움이 되길 기대한다
정부는 사상 최초로 지급하는 긴급재난지원금이 국민들께 빠르고 편하게 전달되도록 최선을 다하겠다
자발적으로 재난지원금을 기부하는 움직임이 확산되고 있는 것은 좋은 일
기부에서 느끼는 보람과 자긍심이 보상
형편이 되는 만큼, 뜻이 있는 만큼 참여해 주시기 바란다
강요할 수도 없고 강요해서도 안될 일"
문재인대통령,2020-05-04,"코로나로 어려움을 겪는 국민들에게 드리는 위로와 응원
경제활력에도 조금이나마 도움이 되길 기대한다"
문재인대통령,2020-05-04,"오늘부터 소득과 상관없이 모든 국민에게 긴급재난지원금을 지급하기 시작했다
추경 심의 과정에서 재난 지원금 지급 대상을 전 국민으로 넓히면서 자발적 기부 장치를 마련했다
온 국민이 힘을 모아 경제 위기를 함께 극복하자는 뜻
강요할 수도 없고 강요해서도 안 될 일
기부에서 느끼는 보람과 자긍심이 보상
형편이 되는 만큼 뜻이 있는 만큼 참여해주시길 바란다
정부는 국민들이 정성으로 모아준 기부금이 필요하고 어려운 국민을 위해 가장 효과적으로 쓰일 수 있도록 최선을 다하겠다"
문재인대통령,2020-05-02,"나라가 어려울 때마다 불교는 국난 극복을 위해 국민 마음을 하나로 모아줬다
지금도 ‘청정 사찰 실천’으로 사회적 거리 두기를 계속하며 감염병 극복에 앞장 서주고 계신다"
문재인대통령,2020-05-01,"조속히 국민에게 재난지원금을 드리도록 정부는 지급 준비에 만전을 기해달라
국민이 수령하기 편리한 방법으로 신속히 지급할 수 있어야 한다"
문재인대통령,2020-05-01,"경제 전시 상황인 만큼 정부는 위기극복에 모든 역량을 집중하는 위기국가체계를 갖춰야 한다
경제부총리를 사령탑으로 하는 경제중대본으로 모든 부처가 자신의 역할을 분명히 하면서 혼연일체가 되어 위기극복의 전면에 나서주길 바란다"
문재인대통령,2020-05-01,"3차 추경도 실기하지 않아야 한다
대책에 시간을 끌수록 피해가 커진다. 과감하게 결정하고 빠르게 정확하게 집행해야 한다"
문재인대통령,2020-05-01,3차 추경도 실기하면 안 된다
문재인대통령,2020-04-30,국민이 수령하기 편리한 방법으로 신속히 지급하라
문재인대통령,2020-04-30,"유종의 미를 거둬 감사한 마음
특히 야당이 추경안 통과에 협조해준 점을 고맙게 생각한다"
문재인대통령,2020-04-30,조속히 국민에게 재난지원금을 드리도록 정부는 지급 준비에 만전을 기해달라
문재인대통령,2020-04-30,"국회가 긴급재난지원금 지급을 위한 추경안을 합의처리하고 유종의 미를 거둬 감사하다
특히 야당이 추경 통과에 협조해준 데 대해 고맙게 생각한다"
문재인대통령,2020-04-30,"유종의 미를 거둬서 감사한 마음
특히 야당이 추경안 통과에 협조해준 점을 고맙게 생각한다"
문재인대통령,2020-04-30,"이제 조속히 국민에게 재난지원금을 드릴 수 있도록 정부는 지급 준비에 만전을 기해달라
국민이 수령하기 편리한 방법으로 신속히 지급할 수 있어야 한다
우리 정부 들어 화재 안전 대책을 강화했는데, 왜 현장에선 작동되지 않았는지 살펴볼 필요가 있다
또다신 이런 일이 재발하지 않도록 빈틈 없는 화재 안전 대책과 실천 방법이 강구돼야 할 것
피해자 가족이 원하는 대로 장례 절차가 이뤄져야 할 것이고, 배상 보상 문제도 제대로 이뤄지도록 챙겨달라"
문재인대통령,2020-04-29,"최근 코로나 상황이 많이 진정되면서 정부는 생활방역체제로의 전환을 준비하고 있고, 황금연휴에 이어서 5월 중에 긴급재난지원금이 지급되면 내수가 살아나는 좋은 계기가 될 것으로 기대하고 있다"
문재인대통령,2020-04-29,"여러분은 코로나19의 위기 앞에서 일자리 지키기라는 큰 역할을 해주셨고, 투숙객의 접촉을 최소화하는 비대면 서비스와 특급 호텔 음식을 온라인 쇼핑에서 판매하는 등 ‘포스트 코로나’ 시대에 대응하며 새로운 희망을 만들어주고 계신다
취업자 수가 크게 줄고 일시 휴직자가 급증하며 가장 먼저 고용 충격의 위기를 겪은 곳도 관광업계와 숙박 음식업
새해 들어서 외국인 관광객이 크게 늘어나는 희망찬 분위기 속에서 ‘2000만 관광객 시대’를 준비했던 관광업계를 생각하면 참으로 마음이 안타깝고 무겁다
그러나 호텔업계 노사가 가장 어려운 시기에 가장 모범적으로 함께 마음을 모았다
사측은 무급휴직이나 연차휴가를 강제하지 않고 휴업으로 일자리를 보전했으며, 노조는 노동쟁의 대신 협력적 노사관계에 합의했다
일자리 위기가 거세게 닥쳐오고 있지만 정부는 하나의 일자리라도 반드시 지키겠다는 각오로 여러분과 함께할 것"
문재인대통령,2020-04-29,"최근 코로나 상황이 많이 진정이 되면서 정부는 생활방역 체제로의 전환을 준비하고 있고, 황금연휴에 이어서 5월 중에 긴급재난지원금이 지급이 되면 내수가 살아나는 좋은 계기가 될 것으로 기대하고 있다"
문재인대통령,2020-04-29,"오늘 여러분은 코로나19의 위기 앞에서 일자리 지키기라는 큰 역할을 해주셨고, 투숙객의 접촉을 최소화하는 비대면 서비스와 특급 호텔 음식을 온라인 쇼핑에서 판매하는 등 ‘포스트 코로나’ 시대에 대응하며 새로운 희망을 만들어주고 계시다
사회적 거리두기와 외국인 관광객 급감으로 호텔 이용률이 크게 떨어졌고, 급격한 매출 감소를 겪고 있다
취업자 수가 크게 줄고 일시 휴직자가 급증하며, 가장 먼저 고용 충격의 위기를 겪은 곳도 관광업계와 숙박 음식업
새해 들어서 외국인 관광객이 아주 크게 늘어나는 희망찬 분위기 속에서 ‘2천만 관광객 시대’를 준비했던 관광업계를 생각하면 참으로 마음이 안타깝고 무겁다
그러나 호텔업계 노사가 가장 어려운 시기에 가장 모범적으로 함께 마음을 모았다
사측은 무급휴직이나 연차휴가를 강제하지 않고 휴업으로 일자리를 보전했으며, 노조는 노동쟁의 대신 협력적 노사관계에 합의했다. 구조조정 대신 고용유지로 일자리를 함께 지키자는 결의를 다졌다
한국호텔업협회와 전국 관광 서비스 노동조합연맹이 산별 노사협력의 모범을 보였고, SK네크웍스 워커힐, 그랜드하얏트 인천, 더플라자, 파르나스 등 호텔 노사도 함께 뜻을 모았다
상생의 힘을 보여주신 여러분께 다시 한번 감사드리며, 우리가 함께 이 위기를 반드시 이겨내자는 말씀을 드린다
여러분이 보여준 연대와 상생의 힘이 호텔업계를 넘어서 서비스업, 또 제조업 전 업종으로 확산되어 나가기를 기대한다"
문재인대통령,2020-04-29,"일자리 위기가 거세게 닥쳐오고 있지만, 정부는 하나의 일자리도 반드시 지키겠다는 각오로 여러분과 함께하겠다
황금연휴에 이어 5월 중에 긴급재난지원금이 지급되면 내수가 살아나는 좋은 계기가 될 것으로 기대하고 있다"
문재인대통령,2020-04-29,"호텔업계 노사가 가장 어려운 시기에, 가장 모범적으로 함께 마음을 모았다. 구조조정 대신 고용 유지로 일자리를 함께 지키자는 결의를 다졌다
'연대와 상생'의 힘이 호텔업계를 넘어서 서비스업, 또 제조업 전 업종으로 확산돼 나가길 기대한다
최근 코로나 상황이 많이 진정이 되면서 정부는 ‘생활방역 체제’로의 전환을 준비하고 있다
황금연휴에 이어서 5월 중에 긴급재난지원금이 지급되면, 내수가 살아나는 좋은 계기가 될 것으로 기대하고 있다
정부의 지원책으로 비정규직인 호텔 사내하청업체 직원들도 혜택을 받게 될 것
관광업계 전체를 살리기 위해서도 노력하겠다
코로나19 극복 관광상품권’ 지급과 또 음식 숙박 관광업에 대한 신용카드와 체크카드 소득공제율 확대는 소비 진작에 도움이 될 것이라고 믿는다"
문재인대통령,2020-04-29,"최근 코로나 상황이 많이 진정되면서 정부는 ‘생활방역 체제’로의 전환을 준비하고 있다
황금연휴에 이어서 5월 중에 긴급재난지원금이 지급되면, 내수가 살아나는 좋은 계기가 될 것으로 기대하고 있다"
문재인대통령,2020-04-29,"노사 상생의 자랑스러운 모습을 국민들과 함께 나누고 싶다
일자리를 지키기 위한 여러분의 노력이 어려움을 겪고 있는 모든 업종과 사업장에 모범이 되고, 희망이 되고 있다
새해 들어 외국인 관광객이 아주 크게 늘어나는 희망찬 분위기 속에서 ‘2000만 관광객 시대’를 준비했던 관광업계를 생각하면 참으로 마음이 안타깝고 무겁다
사회적 거리두기와 외국인 관광객 급감으로 호텔 이용률이 크게 떨어졌고, 급격한 매출 감소를 겪고 있다
취업자 수가 크게 줄고 일시 휴직자가 급증하며, 가장 먼저 고용 충격의 위기를 겪고 있는 곳도 관광업계와 숙박 음식업
그러나 호텔업계 노사가 가장 어려운 시기에, 가장 모범적으로 함께 마음을 모았다
사측은 무급휴직이나 연차휴가를 강제하지 않고 휴업으로 일자리를 보전했으며, 노조는 노동쟁의 대신 협력적 노사관계에 합의했다. 구조조정 대신 고용유지로 일자리를 함께 지키자는 결의를 다졌다
한국호텔업협회와 전국 관광 서비스 노동조합연맹이 산별 노사협력의 모범을 보였고, SK네크웍스 워커힐, 그랜드하얏트 인천, 더플라자, 또 파르나스 등 호텔 노사도 함께 뜻을 모았다
‘일자리 위기’가 거세게 닥쳐오고 있지만, 정부는 하나의 일자리도 반드시 지키겠다는 각오로 여러분과 함께할 것
상생의 힘을 보여주신 여러분께 다시 한번 감사드리며, 우리가 함께 이 위기를 반드시 이겨내자는 말씀을 드린다"
문재인대통령,2020-04-29,"코로나19 사태 대책이 시간을 끌수록 피해가 커지고, 국민과 기업의 어려움이 가중된다
전례 없는 위기에 과감하게 결정하고 빠르고 정확하게 (정책을) 집행해야 한다"
문재인대통령,2020-04-29,경제부총리가 사령탑인 ‘비상경제 중앙대책본부’를 중심으로 모든 부처가 위기 극복의 전면에 나서달라
문재인대통령,2020-04-28,"3차 추가경정예산안(추경안)에는 내수 반등을 위한 종합적인 대책이 담길 것
지금부터가 본격적인 경제 위기 국면이다. 3차 추경도 실기하지 않아야 한다"
