id,일자,시기,정보원,인용문,연합구분
1312,2020-04-03,중기,광역자치단체_인천시,코로나바이러스 직격탄  맞은 시민들  위해 촘촘한 경제지원 대책  추진해 지역경제 회복 속도  높이겠다,중립
1313,2020-03-31,중기,광역자치단체_인천시,현재 인천은 코로나바이러스로 전례 없는 경제 위기에 처해 있다지역경제의 근간이 무너지지 않고 위기  극복할 수 있도록 긴급재난지원금  포함한 가용자원  총 동원 다,중립
1314,2020-03-31,중기,광역자치단체_인천시,코로나바이러스로 인한 경제 위기 극복  위해 총    만 전체 가구에 긴급재난지원금  지원한다,중립
1332,2020-04-03,중기,광역자치단체_부산시,태풍 피해에 대비한 재난 대비 예산은 추가경정예산 등  통해 확보해야 한다,중립
1333,2020-03-24,중기,광역자치단체_부산시,소득과 상관없이 일정액  주는  기본소득 이 아니라 선별 지원하는  긴급민생지원금  성격,중립
1334,2020-03-24,중기,광역자치단체_부산시,재난기본소득 취지에는 전적으로 동의하지만 추진 주체  명확히 구분해야 한다기본소득 성격의 보편적 지원은 중앙정부에서 하고  지방정부는 지역 상황  반영한 맞춤형 지원  하는  쌍끌이 민생지원전략   병행해야 한다,중립
1354,2020-03-29,중기,광역자치단체_대구시,긴급생계자금은 대구은행 농협 등 각 지급 창구 업무 폭주 및 사회적 거리두기에도 역행할 우려가 있어 총선 직후   일부터 지급하고자 잠정 결정 ,중립
1355,2020-03-23,중기,광역자치단체_대구시,두 차례에 걸쳐 긴급생계지원   다,중립
1358,2020-04-13,중기,광역자치단체_대전시,지원금이 크진 않지만 코로나바이러스로 인한 생활부담  덜고 침체된 지역경제 활성화에 마중물이 되도록 사용해 달라긴급재난생계지원금  주신 목적은 가장 힘든 소상공인에게 돌아가게 하자는 취지인   같아서 가는길에 시장에 들러 장  보며 카드  사용할 생각,중립
1359,2020-04-01,중기,광역자치단체_대전시,이번 결정으로 특별재난지역인 대구  제외하면 대전이 전국에서 가장 많은 지원금  지급하게 될  코로나바이러스로 어려움  겪고 있는 시민들의 생활안정  위해 자치구와 유기적인 협조  통해 신속히 집행되도록  다,중립
1360,2020-04-01,중기,광역자치단체_대전시,특별재난지역인 대구  제외하면 대전 시민이 정부 지원금과 대전형 긴급재난생계지원금 등  합해 전국에서 가장 많은 지원금  받   으로 보인다서민경제 안정  위해 정부 지원금과 대전형 지원금  중복 지원하기로  ,중립
1361,2020-04-01,중기,광역자치단체_대전시,코로나 여파로 생계가 곤란해진 저소득층에 신속하게 생계지원금  지급 다,중립
1362,2020-03-30,중기,광역자치단체_대전시,정부의 긴급재난지원금 지급 결정  환영한다자체적으로 계획한  대전형 긴급재난생계지원금  지급  우선 추진 다대전형 긴급재난생계지원금은 온 오프라인  통해 신청할 수 있도록 하고 구체적인 신청 방법과 시기 등  자치구와 협의해 이번주 중 발표 다정부 긴급재난지원금은  월 총선 이후 정부의  차 추경편성이 예상되는 만큼 그에 맞춰 추경  편성해 지방비 부담분  확보 다심각한 비상경제 시기임  인식하고 서민생활 안정과 경제활력 회복에 모든 재원과 자원  집중할  세출 구조조정과 각종 기금의 전용  통해 긴급재난지원금에 대한 지방비 부담 재원  확보하고  이  지역화폐로 지급해 지역경제의 선순환  유도 다,중립
1365,2020-04-12,중기,광역자치단체_제주시,제주의 경우 제주사랑상품권과 같은 지역화폐가 있지만 쓸 수 있는 장소가 전통시장과 같이 한정적이므로 부득이하게 현금으로 지급하게 되었다다른 시 도 지자체장들이 꺼내놓고 있는 재난기본소득이라기보다 역시 취약계층  대상으로 한 긴급생활자금에 가깝고  이후 재난지원금은 정부지원금 지급방식 결정과 맞춰     차로 더 지급할 예정,중립
1366,2020-04-06,중기,광역자치단체_제주시,현 시점에서 정부 긴급재난지원금 매칭액  제외하면     억원 안팎  확보할 수 있   으로 추산하고 있다이번 주 중 확정해 발표할 예정이다,중립
1367,2020-03-27,중기,광역자치단체_제주시,지금 당장 긴급한 어려움에 빠진 이웃의 생업  유지하고 생계  이어나갈 수 있도록 단계별 지원 대책  마련 다재원이 한정돼있는 만큼 모든 곳에 비  뿌리는 정책은 지속가능하지 않다가뭄피해가 더 긴급한 곳에 한 방울의 물이라도 우선 돌아갈 수 있게 해야 한다이들은 기존 공공복지제도의 보호  받지 못하고 현행 각종 융자지원제도에서도 소외되면서 생존 위기에 봉착한 이웃최소 오십만원에서 최대 백만원 안팎  단계별로 지원할  ,중립
1389,2020-04-12,중기,광역자치단체_경상남도,긴급재난지원금 상품권  지급한다는 문자와 함께 인터넷 주소       배포해 개인정보  무단으로 빼내려고 하는 문자들이 유포되고 있어 주의가 요망된다경남형 긴급재난지원금의 경우 온라인 신청  받지 않고 직접 대상자  선별해 우편으로 신청서  발송하니 스미싱에 속지 않도록 주의해 달라,중립
1390,2020-04-07,중기,광역자치단체_경상남도,오는   일  전후해 정부의 긴급재난지원금과 별도로 경남형 긴급재난지원금  먼저 지급 다,중립
1391,2020-04-06,중기,광역자치단체_경상남도,자가격리 이탈자에 대해 고발조치할 계획,중립
1426,2020-03-27,중기,광역자치단체_울산시,울주군  제외한  개 기초단체장들의 결정이 컸다  울주군의 재정형편이 나아 먼저 군민들에게 베푼  에 대해 다른 구에서 문제삼지 않았다,중립
